Model,MAE,RMSE,R2,Negative Predictions
Dummy Baseline,1454531.3785744598,2643347.315717572,-0.00014354449539610847,0
Linear Regression,658647.685365488,1414702.095782996,0.7135268851695914,71
Log-Target Linear Regression,302345.2574496981,996774.465803773,0.8577842536592566,0
