Alpha,L1 Ratio,Mean Train Log RMSE,Mean Validation Log RMSE,Validation RMSE Standard Deviation,Rank
0.0001,0.1,0.22498159742570087,0.27535597155258795,0.025684625790718358,27
5e-05,0.25,0.22490189529841514,0.2755514016845371,0.025717724210650873,28
0.0001,0.05,0.22496192203644574,0.2760827901901191,0.02540086310061776,29
1e-05,0.95,0.2248473778900207,0.27689862513424424,0.025322734934653333,30
5e-05,0.1,0.22487428122610337,0.2769195965190341,0.025192038728115193,31
1e-05,0.9,0.22484579304768681,0.2770537323688669,0.025261349798902034,32
0.001,0.5,0.23617604077241938,0.27717197357389883,0.02384530929640891,33
5e-05,0.05,0.22486643929813144,0.27749889292786944,0.025036356505138187,34
1e-05,0.75,0.22484109934009938,0.2775122019581385,0.02509198896236038,35
0.002,0.05,0.23460379257167308,0.2775471647441233,0.024353043901271805,36
0.002,0.1,0.23608789714658904,0.2777408753843384,0.02422026891831346,37
1e-05,0.5,0.22483493675764046,0.2783657949589963,0.024852506908857024,38
1e-05,0.25,0.22483021600538527,0.27927236816742756,0.024851844722688417,39
0.001,0.75,0.2407346153205717,0.27930441100708187,0.02307359244712767,40
1e-05,0.1,0.22482822595397217,0.2798685476541455,0.024830976521972192,41
0.002,0.25,0.24106665734925073,0.2798693603029761,0.023562568304913583,42
1e-05,0.05,0.22482773961674635,0.280089894486981,0.024827521054283215,43
0.001,0.9,0.24340384686688282,0.2806128512753028,0.022327265744195426,44
0.001,0.95,0.24425537169951358,0.2810253863430042,0.022078579455832394,45
0.005,0.05,0.246521551788888,0.28283739511750056,0.02352014981868913,46
0.002,0.5,0.24912394684582764,0.28352716935774464,0.021674083007705326,47
0.005,0.1,0.2502018469416625,0.2844662249892338,0.023141683848646184,48
0.002,0.75,0.25787846410783777,0.2881277044953869,0.02099377352250809,49
0.01,0.05,0.25903739389089747,0.2891787655217021,0.023423411642982964,50
0.005,0.25,0.26077231323126515,0.2896452997016617,0.021964145163058366,51
0.002,0.9,0.26289258258005654,0.2909722015920443,0.02064718434271335,52
0.002,0.95,0.2643141311256124,0.2917269005978723,0.020676967675512692,53
0.01,0.1,0.2648136746825925,0.2921294629118375,0.022777953662962966,54
0.005,0.5,0.2756533275827535,0.2975228239348152,0.0218123497888968,55
0.01,0.25,0.2799131864540758,0.300135414256244,0.022295445791454517,56
0.005,0.75,0.2864109376277575,0.3030604384776877,0.02117793797436378,57
0.005,0.9,0.290849263753576,0.3051901506279312,0.02081759995331106,58
0.005,0.95,0.29205296060815567,0.30600769864685096,0.020639985495604883,59
0.01,0.5,0.29511893469970907,0.30838074156623174,0.020885094707647874,60
0.05,0.05,0.29449827984317006,0.3115835424056709,0.025055496199446227,61
0.01,0.75,0.30467040333619705,0.3147982533823768,0.01969037680364998,62
0.05,0.1,0.3036395443655035,0.31644092144133584,0.024090694685172755,63
0.01,0.9,0.308148092210976,0.3167642685557886,0.01945006131777338,64
0.01,0.95,0.3089008742745608,0.31724278150448965,0.019292206582477656,65
0.05,0.25,0.31443960247113273,0.32284484887056253,0.021464608496929907,66
0.1,0.05,0.31060550944064563,0.32416700623042555,0.02747658622606126,67
0.05,0.5,0.3210199596635238,0.3265199994776573,0.017429606342929435,68
0.1,0.1,0.31788071076845154,0.32843200716769416,0.02559512952960423,69
0.05,0.75,0.32756748313749884,0.3300767200303552,0.014305290398495324,70
0.05,0.9,0.3323035407036796,0.33353346671427114,0.013531497474485617,71
0.1,0.25,0.3265703070313814,0.3335970558192637,0.020268549487952658,72
0.05,0.95,0.3339301280714261,0.33503787579836175,0.013512863661784922,73
0.1,0.5,0.3415685047509239,0.3429877632869072,0.013553350771946467,74
0.1,0.75,0.3611615985396073,0.3619708459087194,0.014036434495120906,75
0.1,0.9,0.375084622062101,0.3762648717199074,0.014646145827591744,76
0.1,0.95,0.3783669503121765,0.3794679209430655,0.013819415319057496,77
