Feature,Linear Coefficient SD,Ridge Coefficient SD,Stability Improvement
missingindicator_Height,0.0032742870991742763,0.0030285502853637306,0.00024573681381054573
missingindicator_Torque_NM,0.012828801156497217,0.012702682616998561,0.00012611853949865554
missingindicator_Torque_RPM_Clean,0.012828801156497217,0.012702682616998561,0.00012611853949865554
missingindicator_Engine_CC,0.012828801156497217,0.012702682616998561,0.00012611853949865554
missingindicator_Power_BHP,0.012828801156497217,0.012702682616998561,0.00012611853949865554
Torque_RPM_Clean,0.008381992399632766,0.008300169380650261,8.182301898250477e-05
Location_infrequent_sklearn,0.012345406679268135,0.01235347968285612,-8.073003587984878e-06
Make_Skoda,0.03283096050085071,0.03292724016870406,-9.627966785335368e-05
Drivetrain_RWD,0.009049844922791912,0.009184815915331044,-0.00013497099253913236
Height,0.012550732548250999,0.012802206214266296,-0.00025147366601529705
missingindicator_Fuel Tank Capacity,0.007854378700928406,0.008244336979047204,-0.0003899582781187981
Make_Honda,0.02897338812053437,0.02953440727706796,-0.000561019156533591
Location_Chandigarh,0.018714991792872542,0.01933259581723242,-0.0006176040243598795
Seating Capacity,0.014344884947080387,0.014965238393931758,-0.0006203534468513707
Drivetrain_FWD,0.013050082315855471,0.01386022616969377,-0.000810143853838298
Location_Navi Mumbai,0.026461620807946284,0.02838970889365646,-0.0019280880857101765
Location_Varanasi,0.01769268548561884,0.020026135452264317,-0.002333449966645477
Location_Kanpur,0.02709997826226687,0.029910342964032624,-0.0028103647017657524
Make_MG,0.020577611470719702,0.024762141688452605,-0.004184530217732903
Location_Dehradun,0.047048630262754056,0.05165061712127441,-0.004601986858520354
Location_Udupi,0.030501851050092708,0.035528536985949995,-0.005026685935857287
Model_Grand i10 Asta 1.2 Kappa VTVT [2013-2016],0.038538471270343336,0.04513688555774302,-0.006598414287399684
Make_Nissan,0.0178785578300975,0.025657489269236552,-0.007778931439139051
Location_Zirakpur,0.01669937114921194,0.026168317496723582,-0.009468946347511643
Model_City 1.5 V AT,0.045228921680440126,0.05473893043744371,-0.009510008757003585
Make_Chevrolet,0.10807446256938048,0.16746821452856275,-0.05939375195918227
