Feature,Coefficient,Absolute Coefficient
categorical__Model_X1 sDrive20d xLine,-0.1448465037565726,0.1448465037565726
categorical__Model_i10 Magna 1.2 Kappa2,0.08848734535828508,0.08848734535828508
categorical__Model_i20 Magna 1.2,-0.26039740684729545,0.26039740684729545
categorical__Model_infrequent_sklearn,-0.0689101922970554,0.0689101922970554
categorical__Fuel Type_Diesel,0.07402143894268466,0.07402143894268466
categorical__Fuel Type_Electric,0.16331587882882204,0.16331587882882204
categorical__Fuel Type_Petrol,-0.06846536684087025,0.06846536684087025
categorical__Fuel Type_infrequent_sklearn,0.32966573769341145,0.32966573769341145
categorical__Transmission_Manual,-0.16759745802011625,0.16759745802011625
categorical__Location_Ahmedabad,0.05028794838005122,0.05028794838005122
categorical__Location_Ambala Cantt,-0.1035072738856193,0.1035072738856193
categorical__Location_Bangalore,0.2440473349077006,0.2440473349077006
categorical__Location_Bhopal,0.12492781132789174,0.12492781132789174
categorical__Location_Chandigarh,0.028502373703604852,0.028502373703604852
categorical__Location_Chennai,0.2599326648089639,0.2599326648089639
categorical__Location_Coimbatore,0.2701275035737754,0.2701275035737754
categorical__Location_Dehradun,0.16985673016448513,0.16985673016448513
categorical__Location_Delhi,0.06480909892103447,0.06480909892103447
categorical__Location_Faridabad,-0.00963875557539547,0.00963875557539547
categorical__Location_Gurgaon,-0.0009764183463242651,0.0009764183463242651
categorical__Location_Guwahati,0.119970139500128,0.119970139500128
categorical__Location_Hyderabad,0.18867032825034477,0.18867032825034477
categorical__Location_Indore,0.18976480124420822,0.18976480124420822
categorical__Location_Jaipur,0.10343788666468251,0.10343788666468251
categorical__Location_Jalandhar,0.06111166019328566,0.06111166019328566
categorical__Location_Jamshedpur,-0.016669167686424107,0.016669167686424107
categorical__Location_Kanpur,-0.03375248418409062,0.03375248418409062
categorical__Location_Karnal,0.1291022093326994,0.1291022093326994
categorical__Location_Kolkata,-0.10204241753854154,0.10204241753854154
categorical__Location_Lucknow,0.06467647073639271,0.06467647073639271
categorical__Location_Ludhiana,0.09034334280305477,0.09034334280305477
categorical__Location_Mangalore,0.16879813702955976,0.16879813702955976
categorical__Location_Meerut,0.0960299350913381,0.0960299350913381
categorical__Location_Mohali,0.04665101000165817,0.04665101000165817
categorical__Location_Mumbai,0.10278776028835612,0.10278776028835612
categorical__Location_Nashik,-0.030341444192287563,0.030341444192287563
categorical__Location_Navi Mumbai,0.12362619888061653,0.12362619888061653
categorical__Location_Noida,0.06945387236136392,0.06945387236136392
categorical__Location_Patna,0.07841659371174368,0.07841659371174368
categorical__Location_Pune,0.17405082155239798,0.17405082155239798
categorical__Location_Raipur,0.0681356277584506,0.0681356277584506
categorical__Location_Ranchi,-0.05196390500138296,0.05196390500138296
categorical__Location_Surat,-0.0078037569516713964,0.0078037569516713964
categorical__Location_Thane,0.04765941556406991,0.04765941556406991
categorical__Location_Udupi,0.17537598109623195,0.17537598109623195
categorical__Location_Varanasi,-0.00605759717175616,0.00605759717175616
categorical__Location_Zirakpur,0.01106618329622326,0.01106618329622326
categorical__Location_infrequent_sklearn,0.023906573289691507,0.023906573289691507
categorical__Color_Black,0.13202500489029986,0.13202500489029986
categorical__Color_Blue,0.13915206877809133,0.13915206877809133
categorical__Color_Bronze,0.10419124195955383,0.10419124195955383
categorical__Color_Brown,0.140074189840237,0.140074189840237
categorical__Color_Gold,0.1553395463805603,0.1553395463805603
categorical__Color_Green,0.1313308145384506,0.1313308145384506
categorical__Color_Grey,0.14675612631833168,0.14675612631833168
categorical__Color_Maroon,0.1253555695537822,0.1253555695537822
categorical__Color_Orange,0.18656242409760604,0.18656242409760604
categorical__Color_Others,0.10985763122327087,0.10985763122327087
categorical__Color_Red,0.13998640338166185,0.13998640338166185
categorical__Color_Silver,0.09212775462544898,0.09212775462544898
categorical__Color_White,0.1402262277014314,0.1402262277014314
categorical__Color_Yellow,0.06920161622331727,0.06920161622331727
categorical__Color_infrequent_sklearn,0.23826178969686354,0.23826178969686354
categorical__Owner_Second,-0.04808004658834027,0.04808004658834027
categorical__Owner_Third,-0.0712174759372603,0.0712174759372603
categorical__Owner_UnRegistered Car,0.07075650490829946,0.07075650490829946
categorical__Owner_infrequent_sklearn,-0.6517700104786432,0.6517700104786432
categorical__Seller Type_Corporate,0.10037343448237684,0.10037343448237684
categorical__Seller Type_Individual,0.04131730296746027,0.04131730296746027
categorical__Drivetrain_FWD,0.0064201071578496045,0.0064201071578496045
categorical__Drivetrain_Missing,-0.04200193475847873,0.04200193475847873
categorical__Drivetrain_RWD,-0.013256910812531362,0.013256910812531362
