Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Selected,Lasso Magnitude Change from Linear
Make_Datsun,-0.9942484233889488,-0.8259508719550319,0.9942484233889488,0.8259508719550319,0.1682975514339169,-0.9109030095586186,0.9109030095586186,True,0.08334541383033023
Make_Chevrolet,-0.8855135548729908,-0.7219585528185921,0.8855135548729908,0.7219585528185921,0.1635550020543986,-0.7975655689495654,0.7975655689495654,True,0.08794798592342534
Make_Nissan,-0.8088778969425697,-0.6775165835431468,0.8088778969425697,0.6775165835431468,0.1313613133994229,-0.7337827202308376,0.7337827202308376,True,0.07509517671173216
Make_MG,-0.7049493092647064,-0.5795326164833928,0.7049493092647064,0.5795326164833928,0.1254166927813136,-0.6351396508924134,0.6351396508924134,True,0.06980965837229303
Make_Renault,-0.801004981775245,-0.6851343989904989,0.801004981775245,0.6851343989904989,0.1158705827847461,-0.738938217979214,0.738938217979214,True,0.062066763796031044
Make_Tata,-0.8225513713854032,-0.7120918640725759,0.8225513713854032,0.7120918640725759,0.1104595073128273,-0.75895247489773,0.75895247489773,True,0.06359889648767325
Make_Kia,-0.5094232639178907,-0.4014258860478112,0.5094232639178907,0.4014258860478112,0.1079973778700795,-0.44105384712285317,0.44105384712285317,True,0.06836941679503755
Color_infrequent_sklearn,0.2382617896968635,0.132803169980294,0.2382617896968635,0.132803169980294,0.1054586197165694,0.06994934787513975,0.06994934787513975,True,0.16831244182172378
Owner_infrequent_sklearn,-0.6517700104786432,-0.5514152895557227,0.6517700104786432,0.5514152895557227,0.1003547209229205,-0.5928026227714482,0.5928026227714482,True,0.05896738770719501
Color_Orange,0.186562424097606,0.0866018560141543,0.186562424097606,0.0866018560141543,0.0999605680834516,0.03375179118198581,0.03375179118198581,True,0.1528106329156202
Make_Maruti Suzuki,-0.6316670320958914,-0.5328671579555244,0.6316670320958914,0.5328671579555244,0.0987998741403669,-0.572876086185649,0.572876086185649,True,0.058790945910242365
Make_Mahindra,-0.6399199473481096,-0.5418245826209286,0.6399199473481096,0.5418245826209286,0.098095364727181,-0.5823256496474177,0.5823256496474177,True,0.05759429770069191
Make_Honda,-0.6143623004040638,-0.5170407335731056,0.6143623004040638,0.5170407335731056,0.0973215668309581,-0.5570108324959789,0.5570108324959789,True,0.057351467908084874
Make_Toyota,-0.3665896849583075,-0.2722834225511875,0.3665896849583075,0.2722834225511875,0.09430626240712,-0.30960182630945016,0.30960182630945016,True,0.05698785864885736
Fuel Type_Electric,0.163315878828822,0.0699948615552187,0.163315878828822,0.0699948615552187,0.0933210172736032,0.07602167536407299,0.07602167536407299,True,0.08729420346474902
Color_Bronze,0.1041912419595538,0.0127239961982734,0.1041912419595538,0.0127239961982734,0.0914672457612803,-0.01973474883878793,0.01973474883878793,True,0.08445649312076586
Make_Hyundai,-0.555167544029624,-0.4647279534278143,0.555167544029624,0.4647279534278143,0.0904395906018096,-0.5033360021751959,0.5033360021751959,True,0.051831541854428065
