Model,Alpha,MAE,RMSE,R2,Negative Predictions
Log-Target Linear Regression,,302345.2574496981,996774.465803773,0.8577842536592566,0
Basic Ridge Regression,1.0,301740.3368297468,990955.1454550585,0.8594399605232721,0
Best Ridge Regression,0.5,301182.74082062306,999198.6026688314,0.8570916804470757,0
