Model,Alpha,L1 Ratio,MAE,RMSE,R2,Negative Predictions
Log-Target Linear Regression,,,302345.2574496981,996774.465803773,0.8577842536592566,0
Basic Ridge Regression,1.0,,301740.3368297468,990955.1454550584,0.8594399605232721,0
Best Ridge Regression,0.5,,301182.74082062306,999198.6026688314,0.8570916804470757,0
Basic Lasso Regression,1.0,,1244715.9647449227,2743961.9813204985,-0.0777302077226678,0
Best Lasso Regression,0.0001,,298435.94628463406,1003503.5701944834,0.8558576095085862,0
Basic Elastic Net Regression,1.0,0.5,1068826.3751504957,2530338.690426787,0.0835449077328505,0
Best True Elastic Net Regression,0.0002,0.99,297853.54632039793,998411.0852004688,0.8573168577991456,0
