Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%)
Make_Chevrolet,0.10807446256938048,0.16746821452856275,0.15202327716558003,5,100.0
Make_Datsun,0.05258675933842389,0.051441647078674255,0.05588628117482586,5,100.0
Make_Ford,0.03261317665087563,0.028961049573550605,0.03266025033118697,5,100.0
Make_Honda,0.02897338812053437,0.02953440727706796,0.03138758507761562,5,100.0
Make_Hyundai,0.02139667385178219,0.01601916675126774,0.021643683042978937,5,100.0
Make_Jaguar,0.10078922421581724,0.09678619396172031,0.10050943660891441,5,100.0
Make_Jeep,0.035355925558708944,0.026968487149697365,0.030673343289342615,5,100.0
Make_Kia,0.043880213909788225,0.035965130228414945,0.04009063258160127,5,100.0
Make_Land Rover,0.03652716197144081,0.028559847878164832,0.033816965581021756,5,100.0
Make_MG,0.020577611470719702,0.024762141688452605,0.019125251623164214,5,100.0
Make_MINI,0.2178689984270258,0.2165693285644755,0.2280574272970167,4,80.0
Make_Mahindra,0.04102254835546652,0.03429047225677493,0.04132386563262927,5,100.0
Make_Maruti Suzuki,0.03272519253168628,0.02929555736990519,0.034225069773135074,5,100.0
Make_Mercedes-Benz,0.025200871815134286,0.02361944239482529,0.025070300640498085,5,100.0
Make_Nissan,0.0178785578300975,0.025657489269236552,0.023011631345836416,5,100.0
Make_Porsche,0.21319965651346817,0.20325959146046182,0.2171721007202892,5,100.0
Make_Renault,0.026197467466432787,0.02144615592539295,0.028379112812439173,5,100.0
Make_Skoda,0.03283096050085071,0.03292724016870406,0.03398369596843142,5,100.0
Make_Tata,0.0164752462578836,0.01494204461043714,0.01518395527317756,5,100.0
Make_Toyota,0.012495831583173495,0.007548543143296765,0.01066618559696168,5,100.0
Make_Volkswagen,0.031222979917971995,0.028132549819239898,0.03243923812280136,5,100.0
Make_Volvo,0.06533786253974534,0.0541712727565014,0.03474067841571697,3,60.0
Make_infrequent_sklearn,0.08671883184014563,0.08450249412106459,0.0758441734834732,5,100.0
Model_5-Series 520d Luxury Line [2017-2019],0.052877737301376834,0.023241485615778858,0.023745805731858274,5,100.0
Model_A6 2.0 TDI Premium,0.078518587787683,0.027877026684233974,0.029618771169246494,5,100.0
Model_A6 35 TDI Matrix,0.047033539808428594,0.02014056058112735,0.016570247552819942,4,80.0
Model_Alto 800 Lxi,0.061119336368913334,0.027311647207905403,0.020254194282571848,3,60.0
Model_Alto VXi,0.07216873069485713,0.010288234087544854,0.0039152215973133255,1,20.0
Model_Baleno Delta 1.2,0.07037892031885895,0.037256295075879124,0.02810494702728061,3,60.0
Model_Baleno Zeta 1.2,0.045288665223662344,0.023383656360113695,0.02492763111266889,4,80.0
Model_Celerio VXi AMT,0.06501807765012392,0.016084163381637352,0.0,0,0.0
Model_City 1.5 S MT,0.0613266406077219,0.017315474702070233,0.015201882322666933,5,100.0
Model_City 1.5 V AT,0.045228921680440126,0.05473893043744371,0.06800377752923814,4,80.0
Model_City V,0.08304400484968297,0.020015473633270248,0.006114886231978568,1,20.0
Model_Creta 1.6 SX Plus AT Petrol,0.06845635861074416,0.00835032449761001,0.006310080306731721,5,100.0
Model_Creta SX 1.6 AT Petrol,0.07992399205556301,0.02454563623497554,0.003573225735624502,1,20.0
Model_E-Class E 220d Exclusive [2019-2019],0.08950752096282294,0.03682817648853134,0.04334624112864875,5,100.0
Model_Fortuner 2.8 4x2 AT [2016-2020],0.06589065799157073,0.021023770796181528,0.025916025899177856,5,100.0
Model_Fortuner 2.8 4x4 AT [2016-2020],0.08963808323809504,0.029019575465255677,0.03404569387999696,5,100.0
Model_Fortuner 3.0 4x2 AT,0.08626981382289006,0.03790591046973797,0.029761090057095395,2,40.0
Model_Fortuner 3.0 4x4 MT,0.07706834247660155,0.03480242348584034,0.03799552024187151,5,100.0
Model_GLA 200 d Sport,0.07988964594366632,0.022105370694304308,0.0,0,0.0
Model_GLC 220 d Progressive,0.08901644692016128,0.04513979340636503,0.04799631727634495,5,100.0
Model_GLE 250 d,0.046432307579003185,0.02626852728033129,0.014143621157630489,1,20.0
Model_GLE 300d 4MATIC LWB,0.09445158748686552,0.03351126217404,0.006208363652279651,1,20.0
Model_Grand i10 Asta 1.2 Kappa VTVT [2013-2016],0.038538471270343336,0.04513688555774302,0.024233955665830115,2,40.0
Model_Grand i10 Magna 1.2 Kappa VTVT [2013-2016],0.07219033679592914,0.024942372780220528,0.02449727031771266,5,100.0
Model_Innova 2.8 ZX AT 7 STR [2016-2020],0.10298548985959569,0.04357908919335069,0.05257853836763951,5,100.0
Model_Kwid 1.0 RXT [2016-2019],0.10352493272835675,0.03401353021996018,0.041146793047397386,4,80.0
Model_Kwid RXT [2015-2019],0.1062782756841387,0.0450929699492386,0.02299115244412239,2,40.0
Model_Q3 35 TDI Premium + Sunroof,0.10634929945228987,0.04167200386749785,0.04810477640018086,5,100.0
Model_Scorpio S10,0.06255909741863751,0.04973861175555828,0.07004807187543004,5,100.0
Model_Swift DZire VDI,0.07514473532548022,0.02051295232952328,0.014794505518795957,3,60.0
Model_Swift DZire VXI,0.07721053121988307,0.023376786319699375,0.02866874509766141,5,100.0
Model_Swift VDi,0.04833256631138138,0.02595380924722752,0.029006791952511893,5,100.0
Model_Swift VXi,0.07342712772100472,0.016939488939747407,0.01454103608841551,5,100.0
Model_Swift VXi [2014-2017],0.08222475750236868,0.023240043639301065,0.01635253489114683,1,20.0
Model_V40 D3 R-Design,0.13814212092029848,0.060754248976961064,0.041668617176627315,2,40.0
Model_Verna 1.6 CRDI SX,0.08663316054040307,0.024641272791441855,0.03227023794542165,5,100.0
