Feature,Ridge Coefficient,Absolute Ridge Coefficient
cat__Model_Baleno Zeta 1.2,0.04979418564825023,0.04979418564825023
cat__Location_Mumbai,0.04875606396632618,0.04875606396632618
cat__Owner_Second,-0.04870724668945122,0.04870724668945122
cat__Location_Navi Mumbai,0.04845835087729298,0.04845835087729298
cat__Model_Fortuner 3.0 4x2 AT,-0.04845282673832497,0.04845282673832497
cat__Color_Black,0.044857751734184576,0.044857751734184576
cat__Location_Jaipur,0.0443692400684022,0.0443692400684022
cat__Location_Zirakpur,-0.04409005146842537,0.04409005146842537
cat__Location_Meerut,0.042855912629287,0.042855912629287
cat__Location_Gurgaon,-0.0426439865302204,0.0426439865302204
num__Seating Capacity,-0.04246549017034991,0.04246549017034991
cat__Model_Baleno Delta 1.2,-0.04007911148002755,0.04007911148002755
cat__Make_Volvo,0.039966052444941565,0.039966052444941565
cat__Seller Type_Individual,0.03642261425868745,0.03642261425868745
cat__Color_Maroon,0.03640075589414297,0.03640075589414297
cat__Location_Ludhiana,0.03312752623104004,0.03312752623104004
cat__Model_Wagon R LXI CNG (O),-0.03302418401867371,0.03302418401867371
cat__Drivetrain_RWD,-0.03191243904539271,0.03191243904539271
cat__Location_Patna,0.030907638698170235,0.030907638698170235
cat__Model_Alto 800 Lxi,-0.030663377441751384,0.030663377441751384
cat__Model_Swift VXi [2014-2017],-0.030026251955955565,0.030026251955955565
num__Kilometer,-0.02907559568782599,0.02907559568782599
cat__Location_infrequent_sklearn,-0.028858751518400408,0.028858751518400408
cat__Model_A6 35 TDI Matrix,-0.02350638290050959,0.02350638290050959
num__Width,0.022623771504789756,0.022623771504789756
cat__Color_Yellow,-0.022512405874956162,0.022512405874956162
cat__Color_Others,0.021359859585853715,0.021359859585853715
num__Engine_CC,0.020714932117776117,0.020714932117776117
cat__Model_GLE 250 d,-0.020345067506269434,0.020345067506269434
num__Fuel Tank Capacity,0.019791139652518556,0.019791139652518556
cat__Location_Chandigarh,-0.01914143383261745,0.01914143383261745
cat__Location_Noida,0.018665757230387138,0.018665757230387138
cat__Drivetrain_FWD,-0.018382992836485146,0.018382992836485146
cat__Model_Kwid RXT [2015-2019],0.017548070218484355,0.017548070218484355
cat__Location_Delhi,0.013911406942242563,0.013911406942242563
cat__Location_Raipur,0.01336330453340381,0.01336330453340381
cat__Color_Bronze,0.012723996198273446,0.012723996198273446
cat__Model_Swift DZire VDI,0.012469117063520515,0.012469117063520515
cat__Model_Celerio VXi AMT,-0.012059770025999297,0.012059770025999297
cat__Model_City V,0.01129407007506843,0.01129407007506843
cat__Location_Lucknow,0.009976360892286578,0.009976360892286578
cat__Model_Vitara Brezza VDi (O) [2016-2018],-0.009621764318491181,0.009621764318491181
cat__Location_Mohali,-0.008969630781566854,0.008969630781566854
cat__Model_Alto VXi,0.008669668047257205,0.008669668047257205
cat__Location_Thane,-0.008186589405730261,0.008186589405730261
cat__Model_Wagon R VXI,-0.008088415245492914,0.008088415245492914
cat__Location_Jalandhar,0.0070844725242235704,0.0070844725242235704
cat__Color_Silver,0.006895601482761766,0.006895601482761766
cat__Model_GLA 200 d Sport,0.005956944926428535,0.005956944926428535
cat__Model_Grand i10 Asta 1.2 Kappa VTVT [2013-2016],-0.00544213590967817,0.00544213590967817
num__Power_RPM,0.004953937563781871,0.004953937563781871
num__missingindicator_Torque_NM,0.0036719469926362845,0.0036719469926362845
num__missingindicator_Power_BHP,0.0036719469926362845,0.0036719469926362845
num__missingindicator_Engine_CC,0.0036719469926362845,0.0036719469926362845
num__missingindicator_Torque_RPM_Clean,0.0036719469926362845,0.0036719469926362845
cat__Model_GLE 300d 4MATIC LWB,0.003340980459766221,0.003340980459766221
num__missingindicator_Power_RPM,0.0022103522051455165,0.0022103522051455165
cat__Location_Ahmedabad,-0.0020240270393749684,0.0020240270393749684
cat__Model_Creta SX 1.6 AT Petrol,-0.0016995663831574728,0.0016995663831574728
num__missingindicator_Length,-0.00039029387344249454,0.00039029387344249454
num__missingindicator_Width,-0.00039029387344249454,0.00039029387344249454
num__missingindicator_Height,-0.00039029387344249454,0.00039029387344249454
num__missingindicator_Seating Capacity,-0.00039029387344249454,0.00039029387344249454
num__missingindicator_Fuel Tank Capacity,-0.00010807929353803498,0.00010807929353803498
