Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%),Elastic Net Coefficient SD,Elastic Net Folds Selected,Elastic Net Selection Frequency (%),Elastic Net Stability Improvement from Linear
Model_Baleno Delta 1.2,0.0703789203188589,0.0372562950758791,0.0281049470272806,3,60.0,0.01292368345438126,2,40.0,0.057455236864477635
Model_Baleno Zeta 1.2,0.0452886652236623,0.0233836563601136,0.0249276311126688,4,80.0,0.0,0,0.0,0.0452886652236623
Model_Celerio VXi AMT,0.0650180776501239,0.0160841633816373,0.0,0,0.0,0.0,0,0.0,0.0650180776501239
Model_City 1.5 S MT,0.0613266406077219,0.0173154747020702,0.0152018823226669,5,100.0,0.008500125726357131,4,80.0,0.05282651488136477
Model_City 1.5 V AT,0.0452289216804401,0.0547389304374437,0.0680037775292381,4,80.0,0.05132932900710994,4,80.0,-0.006100407326669839
Model_City V,0.0830440048496829,0.0200154736332702,0.0061148862319785,1,20.0,0.0,0,0.0,0.0830440048496829
Model_Creta 1.6 SX Plus AT Petrol,0.0684563586107441,0.00835032449761,0.0063100803067317,5,100.0,0.007353253616732966,5,100.0,0.061103104994011136
Model_Creta SX 1.6 AT Petrol,0.079923992055563,0.0245456362349755,0.0035732257356245,1,20.0,0.0,0,0.0,0.079923992055563
Model_E-Class E 220d Exclusive [2019-2019],0.0895075209628229,0.0368281764885313,0.0433462411286487,5,100.0,0.03945478386409086,4,80.0,0.050052737098732036
Model_Fortuner 2.8 4x2 AT [2016-2020],0.0658906579915707,0.0210237707961815,0.0259160258991778,5,100.0,0.023106521299488772,5,100.0,0.042784136692081934
Model_Fortuner 2.8 4x4 AT [2016-2020],0.089638083238095,0.0290195754652556,0.0340456938799969,5,100.0,0.036287784090391975,5,100.0,0.05335029914770302
Model_Fortuner 3.0 4x2 AT,0.08626981382289,0.0379059104697379,0.0297610900570953,2,40.0,0.02296920104125132,1,20.0,0.06330061278163869
Model_Fortuner 3.0 4x4 MT,0.0770683424766015,0.0348024234858403,0.0379955202418715,5,100.0,0.03763042637385505,5,100.0,0.039437916102746454
Model_GLA 200 d Sport,0.0798896459436663,0.0221053706943043,0.0,0,0.0,0.0,0,0.0,0.0798896459436663
Model_GLC 220 d Progressive,0.0890164469201612,0.045139793406365,0.0479963172763449,5,100.0,0.04240267154011224,5,100.0,0.046613775380048954
Model_GLE 250 d,0.0464323075790031,0.0262685272803312,0.0141436211576304,1,20.0,0.0007590640203581544,1,20.0,0.045673243558644945
Model_GLE 300d 4MATIC LWB,0.0944515874868655,0.03351126217404,0.0062083636522796,1,20.0,0.0,0,0.0,0.0944515874868655
Model_Grand i10 Asta 1.2 Kappa VTVT [2013-2016],0.0385384712703433,0.045136885557743,0.0242339556658301,2,40.0,0.0016061030325724864,1,20.0,0.03693236823777082
Model_Grand i10 Magna 1.2 Kappa VTVT [2013-2016],0.0721903367959291,0.0249423727802205,0.0244972703177126,5,100.0,0.016372472113413927,4,80.0,0.055817864682515164
Model_Innova 2.8 ZX AT 7 STR [2016-2020],0.1029854898595956,0.0435790891933506,0.0525785383676395,5,100.0,0.05069582984253461,4,80.0,0.05228966001706099
Model_Kwid 1.0 RXT [2016-2019],0.1035249327283567,0.0340135302199601,0.0411467930473973,4,80.0,0.02834916525466062,3,60.0,0.07517576747369607
Model_Kwid RXT [2015-2019],0.1062782756841387,0.0450929699492386,0.0229911524441223,2,40.0,0.0019904284454002716,1,20.0,0.10428784723873842
Model_Q3 35 TDI Premium + Sunroof,0.1063492994522898,0.0416720038674978,0.0481047764001808,5,100.0,0.04030666280609357,3,60.0,0.06604263664619622
Model_Scorpio S10,0.0625590974186375,0.0497386117555582,0.07004807187543,5,100.0,0.06317291590373314,4,80.0,-0.0006138184850956463
Model_Swift DZire VDI,0.0751447353254802,0.0205129523295232,0.0147945055187959,3,60.0,0.004357902900689451,2,40.0,0.07078683242479075
Model_Swift DZire VXI,0.077210531219883,0.0233767863196993,0.0286687450976614,5,100.0,0.029536721668853377,5,100.0,0.04767380955102962
