Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Lasso Selected,Lasso Magnitude Change from Linear,Elastic Net Coefficient,Absolute Elastic Net Coefficient,Elastic Net Selected,Elastic Net Magnitude Change from Linear
Make_Datsun,-0.9942484233889488,-0.8259508719550319,0.9942484233889488,0.8259508719550319,0.1682975514339169,-0.9109030095586186,0.9109030095586186,True,0.0833454138303302,-0.835585053727496,0.835585053727496,True,0.15866336966145278
Make_Chevrolet,-0.8855135548729908,-0.7219585528185921,0.8855135548729908,0.7219585528185921,0.1635550020543986,-0.7975655689495654,0.7975655689495654,True,0.0879479859234253,-0.7158489596297911,0.7158489596297911,True,0.16966459524319966
Make_Nissan,-0.8088778969425697,-0.6775165835431468,0.8088778969425697,0.6775165835431468,0.1313613133994229,-0.7337827202308376,0.7337827202308376,True,0.0750951767117321,-0.6638410171064842,0.6638410171064842,True,0.14503687983608549
Make_MG,-0.7049493092647064,-0.5795326164833928,0.7049493092647064,0.5795326164833928,0.1254166927813136,-0.6351396508924134,0.6351396508924134,True,0.069809658372293,-0.5704370580644785,0.5704370580644785,True,0.13451225120022792
Make_Renault,-0.801004981775245,-0.6851343989904989,0.801004981775245,0.6851343989904989,0.1158705827847461,-0.738938217979214,0.738938217979214,True,0.062066763796031,-0.6875784811279345,0.6875784811279345,True,0.11342650064731052
Make_Tata,-0.8225513713854032,-0.7120918640725759,0.8225513713854032,0.7120918640725759,0.1104595073128273,-0.75895247489773,0.75895247489773,True,0.0635988964876732,-0.7012623227258669,0.7012623227258669,True,0.12128904865953638
Make_Kia,-0.5094232639178907,-0.4014258860478112,0.5094232639178907,0.4014258860478112,0.1079973778700795,-0.4410538471228531,0.4410538471228531,True,0.0683694167950375,-0.3798481020299698,0.3798481020299698,True,0.1295751618879209
Color_infrequent_sklearn,0.2382617896968635,0.132803169980294,0.2382617896968635,0.132803169980294,0.1054586197165694,0.0699493478751397,0.0699493478751397,True,0.1683124418217237,0.03208755811795097,0.03208755811795097,True,0.20617423157891254
Owner_infrequent_sklearn,-0.6517700104786432,-0.5514152895557227,0.6517700104786432,0.5514152895557227,0.1003547209229205,-0.5928026227714482,0.5928026227714482,True,0.058967387707195,-0.542977803437107,0.542977803437107,True,0.10879220704153625
Color_Orange,0.186562424097606,0.0866018560141543,0.186562424097606,0.0866018560141543,0.0999605680834516,0.0337517911819858,0.0337517911819858,True,0.1528106329156202,0.005852743308695441,0.005852743308695441,True,0.18070968078891056
Make_Maruti Suzuki,-0.6316670320958914,-0.5328671579555244,0.6316670320958914,0.5328671579555244,0.0987998741403669,-0.572876086185649,0.572876086185649,True,0.0587909459102423,-0.5185274226963005,0.5185274226963005,True,0.11313960939959089
Make_Mahindra,-0.6399199473481096,-0.5418245826209286,0.6399199473481096,0.5418245826209286,0.098095364727181,-0.5823256496474177,0.5823256496474177,True,0.0575942977006919,-0.5305104117739223,0.5305104117739223,True,0.10940953557418731
Make_Honda,-0.6143623004040638,-0.5170407335731056,0.6143623004040638,0.5170407335731056,0.0973215668309581,-0.5570108324959789,0.5570108324959789,True,0.0573514679080848,-0.5037402507588397,0.5037402507588397,True,0.11062204964522415
Make_Toyota,-0.3665896849583075,-0.2722834225511875,0.3665896849583075,0.2722834225511875,0.09430626240712,-0.3096018263094501,0.3096018263094501,True,0.0569878586488573,-0.2530333825242612,0.2530333825242612,True,0.1135563024340463
Fuel Type_Electric,0.163315878828822,0.0699948615552187,0.163315878828822,0.0699948615552187,0.0933210172736032,0.0760216753640729,0.0760216753640729,True,0.087294203464749,0.0,0.0,False,0.163315878828822
Color_Bronze,0.1041912419595538,0.0127239961982734,0.1041912419595538,0.0127239961982734,0.0914672457612803,-0.0197347488387879,0.0197347488387879,True,0.0844564931207658,-0.02274913949680512,0.02274913949680512,True,0.08144210246274869
Make_Hyundai,-0.555167544029624,-0.4647279534278143,0.555167544029624,0.4647279534278143,0.0904395906018096,-0.5033360021751959,0.5033360021751959,True,0.051831541854428,-0.45639432207863145,0.45639432207863145,True,0.09877322195099253
Make_Ford,-0.5744519209700933,-0.4845693140542136,0.5744519209700933,0.4845693140542136,0.0898826069158797,-0.5193884225233311,0.5193884225233311,True,0.0550634984467622,-0.4695951136348308,0.4695951136348308,True,0.10485680733526254
Color_Brown,0.140074189840237,0.0504374998368432,0.140074189840237,0.0504374998368432,0.0896366900033937,0.005292681858549,0.005292681858549,True,0.1347815079816879,0.0,0.0,False,0.140074189840237
Make_Jeep,-0.480792549069217,-0.3914668934291178,0.480792549069217,0.3914668934291178,0.0893256556400992,-0.4240087025589368,0.4240087025589368,True,0.0567838465102801,-0.3719238690110973,0.3719238690110973,True,0.10886868005811967
Color_Maroon,0.1253555695537822,0.0364007558941429,0.1253555695537822,0.0364007558941429,0.0889548136596392,-0.0,0.0,False,0.1253555695537822,-0.0,0.0,False,0.1253555695537822
Color_Grey,0.1467561263183316,0.0578828561548582,0.1467561263183316,0.0578828561548582,0.0888732701634733,0.0123597536174282,0.0123597536174282,True,0.1343963727009033,0.004970111093472616,0.004970111093472616,True,0.14178601522485898
Color_Others,0.1098576312232708,0.0213598595858537,0.1098576312232708,0.0213598595858537,0.0884977716374171,-0.0031793893598694,0.0031793893598694,True,0.1066782418634013,-0.0,0.0,False,0.1098576312232708
Color_Gold,0.1553395463805603,0.0679207462484884,0.1553395463805603,0.0679207462484884,0.0874188001320719,0.01900177352015,0.01900177352015,True,0.1363377728604102,0.007909169506723955,0.007909169506723955,True,0.14743037687383634
Color_Black,0.1320250048902998,0.0448577517341845,0.1320250048902998,0.0448577517341845,0.0871672531561152,0.0,0.0,False,0.1320250048902998,-0.0007338262443016813,0.0007338262443016813,True,0.13129117864599812
Color_Red,0.1399864033816618,0.053312929659135,0.1399864033816618,0.053312929659135,0.0866734737225267,0.0064640187961263,0.0064640187961263,True,0.1335223845855354,0.0007994881478239158,0.0007994881478239158,True,0.1391869152338379
Color_Silver,0.0921277546254489,0.0068956014827617,0.0921277546254489,0.0068956014827617,0.0852321531426871,-0.0381411637252558,0.0381411637252558,True,0.053986590900193,-0.042836259359904844,0.042836259359904844,True,0.04929149526554405
Color_White,0.1402262277014314,0.0557121069881805,0.1402262277014314,0.0557121069881805,0.0845141207132508,0.0103827421484582,0.0103827421484582,True,0.1298434855529731,0.007389801396276274,0.007389801396276274,True,0.13283642630515513
