Feature,VIF
Kilometer,1.1483378617733013
Length,5.8289480539554726
Width,4.269517767055149
Height,2.9507107136533364
Seating Capacity,2.7245247946537305
Fuel Tank Capacity,4.530340477396939
Vehicle Age,1.2548459570934538
Engine_CC,8.700894565578174
Power_BHP,18.566755876146487
Power_RPM,7.862290941272457
Torque_NM,17.81296559138673
Torque_RPM_Clean,4.55937426548998
