Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change
Location_Bangalore,0.2440473349077006,0.19158844895454477,0.2440473349077006,0.19158844895454477,0.05245888595315584
Location_Delhi,0.0648090989210344,0.013911406942242563,0.0648090989210344,0.013911406942242563,0.050897691978791834
Location_Noida,0.0694538723613639,0.018665757230387138,0.0694538723613639,0.018665757230387138,0.05078811513097676
Location_Ahmedabad,0.0502879483800512,-0.0020240270393749684,0.0502879483800512,0.0020240270393749684,0.04826392134067623
Location_Chennai,0.2599326648089639,0.21183769551983567,0.2599326648089639,0.21183769551983567,0.04809496928912821
Location_Bhopal,0.1249278113278917,0.07699777331365523,0.1249278113278917,0.07699777331365523,0.04793003801423647
Location_Patna,0.0784165937117436,0.030907638698170235,0.0784165937117436,0.030907638698170235,0.04750895501357337
Color_Yellow,0.0692016162233172,-0.022512405874956162,0.0692016162233172,0.022512405874956162,0.04668921034836104
Model_Q3 35 TDI Premium + Sunroof,-0.1497448178820269,-0.10306671903518606,0.1497448178820269,0.10306671903518606,0.046678098846840835
Model_A6 35 TDI Matrix,-0.0692012382670924,-0.02350638290050959,0.0692012382670924,0.02350638290050959,0.04569485536658281
Location_Thane,0.0476594155640699,-0.008186589405730261,0.0476594155640699,0.008186589405730261,0.039472826158339636
Location_Mohali,0.0466510100016581,-0.008969630781566854,0.0466510100016581,0.008969630781566854,0.037681379220091245
Model_Fortuner 3.0 4x4 MT,0.2101364797951739,0.17628593603515588,0.2101364797951739,0.17628593603515588,0.03385054376001803
Model_Fortuner 2.8 4x2 AT [2016-2020],0.2173474562017897,0.18747834326890525,0.2173474562017897,0.18747834326890525,0.02986911293288444
Model_Wagon R VXI,-0.035234745936558,-0.008088415245492914,0.035234745936558,0.008088415245492914,0.02714633069106509
Model_i20 Magna 1.2,-0.2603974068472954,-0.23392674769207483,0.2603974068472954,0.23392674769207483,0.026470659155220566
Model_Grand i10 Magna 1.2 Kappa VTVT [2013-2016],-0.0981731754104734,-0.07827509524628379,0.0981731754104734,0.07827509524628379,0.01989808016418962
Model_Verna 1.6 CRDI SX,-0.1876592778410475,-0.16792878758360738,0.1876592778410475,0.16792878758360738,0.019730490257440114
Model_GLA 200 d Sport,-0.0239881693490277,0.005956944926428535,0.0239881693490277,0.005956944926428535,0.018031224422599162
Model_Wagon R LXI CNG (O),-0.050425140028152,-0.03302418401867371,0.050425140028152,0.03302418401867371,0.01740095600947829
Model_X1 sDrive20d xLine,-0.1448465037565726,-0.12862645552911947,0.1448465037565726,0.12862645552911947,0.016220048227453127
Model_Innova 2.8 ZX AT 7 STR [2016-2020],-0.1641331999360955,-0.1486894495494933,0.1641331999360955,0.1486894495494933,0.015443750386602173
Model_Swift VDi,0.1007530468746931,0.08565243116730893,0.1007530468746931,0.08565243116730893,0.015100615707384163
Height,0.0975345742010361,0.08247101071547341,0.0975345742010361,0.08247101071547341,0.01506356348556269
Model_City 1.5 S MT,-0.0798435355144511,-0.06577245300842204,0.0798435355144511,0.06577245300842204,0.014071082506029065
Fuel Type_Diesel,0.0740214389426846,0.06121702409030396,0.0740214389426846,0.06121702409030396,0.012804414852380645
Torque_NM,-0.1412523676140258,-0.12847982888501275,0.1412523676140258,0.12847982888501275,0.012772538729013044
Model_Grand i10 Asta 1.2 Kappa VTVT [2013-2016],-0.0172070076228445,-0.00544213590967817,0.0172070076228445,0.00544213590967817,0.011764871713166331
Model_GLC 220 d Progressive,0.1634690464456539,0.15215665318366756,0.1634690464456539,0.15215665318366756,0.011312393261986353
Model_E-Class E 220d Exclusive [2019-2019],0.1217362079894171,0.1113088803512481,0.1217362079894171,0.1113088803512481,0.010427327638169004
missingindicator_Power_RPM,-0.012603606171201,0.0022103522051455165,0.012603606171201,0.0022103522051455165,0.010393253966055484
Model_Creta SX 1.6 AT Petrol,-0.0118206747500131,-0.0016995663831574728,0.0118206747500131,0.0016995663831574728,0.010121108366855628
Model_V40 D3 R-Design,-0.0652100227487303,-0.055292177316656275,0.0652100227487303,0.055292177316656275,0.00991784543207403
Location_Chandigarh,0.0285023737036048,-0.01914143383261745,0.0285023737036048,0.01914143383261745,0.00936093987098735
Model_Vitara Brezza VDi (O) [2016-2018],-0.0178673171368065,-0.009621764318491181,0.0178673171368065,0.009621764318491181,0.00824555281831532
Model_Kwid RXT [2015-2019],0.0252002873310325,0.017548070218484355,0.0252002873310325,0.017548070218484355,0.007652217112548144
Model_Swift DZire VDI,0.0200264182187687,0.012469117063520515,0.0200264182187687,0.012469117063520515,0.007557301155248183
Model_Vitara Brezza ZDi,0.1213333157912911,0.11411794242466067,0.1213333157912911,0.11411794242466067,0.0072153733666304315
Model_Baleno Delta 1.2,-0.0468590163481215,-0.04007911148002755,0.0468590163481215,0.04007911148002755,0.006779904868093947
Model_Swift VXi [2014-2017],-0.0361555341444564,-0.030026251955955565,0.0361555341444564,0.030026251955955565,0.006129282188500836
Model_City 1.5 V AT,-0.1595322841737976,-0.15400703104732855,0.1595322841737976,0.15400703104732855,0.005525253126469065
Seller Type_Individual,0.0413173029674602,0.03642261425868745,0.0413173029674602,0.03642261425868745,0.00489468870877275
